"DISPATCHED","DESCRIPTION","ADDRESS","GRID","REPORT"
"04-24-2023 09:00 AM","INFORMATION","1900 BLOCK W GRAY ST","154","171194"
"04-24-2023 08:57 AM","MISSING PERS/RUNAWAY","8400 BLOCK N 15TH ST","29","171181"
"04-24-2023 08:55 AM","ASSAULT/BATTERY","2500 BLOCK N 50TH ST","131","171190"
"04-24-2023 08:55 AM","INFORMATION","3200 BLOCK E BOUGAINVILLEA AVE","23","171191"
"04-24-2023 08:54 AM","STOLEN VEHICLE","6300 BLOCK BAYSHORE BLVD","198","171091"
"04-24-2023 08:53 AM","VEHICLE STOP/TRAFFIC","W SLIGH AVE / N HIGHLAND AVE","50","171189"
"04-24-2023 08:51 AM","TRAFFIC CRASH","W KENNEDY BLVD / S CHURCH AVE","157","171182"
"04-24-2023 08:50 AM","VEHICLE STOP/TRAFFIC","W SLIGH AVE / N ARMENIA AVE","48","171186"
"04-24-2023 08:50 AM","PROJECT","E 28TH AVE / N 18TH ST","97","171185"
"04-24-2023 08:49 AM","TRAFFIC CRASH","4200 BLOCK DELEUIL AVE","63","171183"
"04-24-2023 08:47 AM","NATURE UNKNOWN","3100 BLOCK W SAINT CONRAD ST","112","171170"
"04-24-2023 08:46 AM","POLICE SERVICE CALL","5000 BLOCK N 47TH ST","75","171179"
"04-24-2023 08:46 AM","DOMESTIC DISPUTE","8300 BLOCK N 13TH ST","38","171177"
"04-24-2023 08:44 AM","INFORMATION","400 BLOCK N DALE MABRY HWY","152","171178"
"04-24-2023 08:44 AM","TRAFFIC CONTROL","N MORGAN ST / E ESTELLE ST","125","171171"
"04-24-2023 08:43 AM","BUILDING CHECK","1100 BLOCK W SPRUCE ST","124","171174"
"04-24-2023 08:43 AM","RECKLESS DRIVING","18000 BLOCK HIGHWOODS PRESERVE PKWY","240","171172"
"04-24-2023 08:36 AM","BUILDING CHECK","E KENNEDY BLVD / N FRANKLIN ST","144","171165"
"04-24-2023 08:35 AM","VEHICLE STOP/TRAFFIC","7500 BLOCK N BOULEVARD","42","171163"
"04-24-2023 08:35 AM","GRAND THEFT","3100 BLOCK S BEACH DR","173","171157"
"04-24-2023 08:29 AM","BUILDING CHECK","10400 BLOCK N NEBRASKA AVE","11","171155"
"04-24-2023 08:28 AM","STOLEN VEHICLE","4700 BLOCK S HIMES AVE","185","171103"
"04-24-2023 08:26 AM","STOLEN VEHICLE","6500 BLOCK CANOPY TREE DR","54","171127"
"04-24-2023 08:23 AM","VEHICLE STOP/TRAFFIC","W SLIGH AVE / N RIVER BLVD","50","171152"
"04-24-2023 08:22 AM","MISDEMEANOR","3000 BLOCK E BUSCH BLVD","31","171149"
"04-24-2023 08:18 AM","VEHICLE STOP/TRAFFIC","N BOULEVARD / W SLIGH AVE","49","171146"
"04-24-2023 08:15 AM","VEHICLE STOP/TRAFFIC","E BOUGAINVILLEA AVE / N 15TH ST","12","171144"
"04-24-2023 08:13 AM","BUILDING CHECK","10900 BLOCK N NEBRASKA AVE","3","171142"
"04-24-2023 08:10 AM","DISTURBANCE","1400 BLOCK E 7TH AVE","127","171130"
"04-24-2023 08:09 AM","FELONY","1500 BLOCK SPRUCE TER","124","171138"
"04-24-2023 08:09 AM","INFORMATION","1800 BLOCK N 34TH ST","130","171136"
